Time_s,Input_u_PWM,Output_y_Temp
2.589,0.0,20.75
3.156,0.0,21.0
3.165,0.0,20.75
3.753,0.0,20.75
4.314,0.0,20.75
4.877,0.0,21.0
5.437,0.0,21.25
6.008,0.0,21.25
6.572,0.0,20.75
7.136,0.0,20.75
7.145,0.0,21.25
7.733,0.0,21.0
8.292,0.0,20.75
8.863,0.0,21.0
9.420,0.0,21.0
9.992,0.0,21.0
10.563,0.0,20.5
11.131,0.0,21.0
11.138,0.0,20.75
11.714,0.0,20.5
12.272,0.0,20.75
12.842,0.0,20.75
13.404,0.0,20.75
13.964,0.0,20.5
14.551,0.0,20.75
15.105,0.0,21.0
15.122,0.0,20.75
15.691,0.0,20.75
16.264,0.0,20.75
16.815,50.0,20.75
17.371,50.0,20.75
17.947,50.0,21.25
18.509,50.0,21.25
19.088,50.0,21.0
19.108,50.0,21.0
19.671,50.0,21.25
20.240,50.0,21.0
20.804,50.0,21.0
21.394,50.0,21.0
21.944,50.0,20.75
22.499,50.0,21.0
23.065,50.0,21.0
23.656,50.0,21.0
23.668,50.0,20.75
24.250,50.0,21.0
24.813,50.0,21.0
25.366,50.0,20.75
25.940,50.0,21.0
26.495,50.0,20.75
27.068,50.0,21.0
27.622,50.0,20.75
27.633,50.0,21.0
28.228,50.0,21.25
28.807,50.0,21.0
29.359,50.0,21.0
29.920,50.0,20.25
30.493,50.0,21.25
31.047,50.0,21.25
31.621,50.0,20.75
31.635,50.0,20.75
32.213,50.0,21.0
32.790,50.0,21.0
33.361,50.0,21.5
33.927,50.0,21.25
34.508,50.0,20.75
35.079,50.0,21.25
35.649,50.0,21.25
35.658,50.0,21.75
36.237,50.0,21.25
36.812,50.0,21.5
37.389,50.0,21.75
37.962,50.0,21.25
38.532,50.0,21.25
39.102,50.0,21.25
39.116,50.0,21.0
39.712,50.0,21.5
40.286,50.0,21.5
40.861,50.0,21.75
41.429,50.0,21.25
42.000,50.0,21.75
42.607,50.0,21.75
42.617,50.0,21.75
43.211,50.0,21.5
43.794,50.0,22.0
44.360,50.0,21.5
44.931,50.0,21.5
45.511,50.0,21.5
46.079,50.0,21.75
46.663,50.0,21.5
46.668,50.0,22.0
47.267,50.0,21.5
47.844,50.0,22.25
48.422,50.0,21.5
48.996,50.0,22.25
49.565,50.0,21.75
50.160,50.0,22.0
50.170,50.0,21.75
50.757,50.0,21.75
51.323,50.0,22.25
51.903,50.0,22.25
52.464,50.0,22.0
53.042,50.0,21.5
53.618,50.0,22.0
53.622,50.0,22.0
54.208,50.0,22.25
54.772,50.0,22.5
55.339,50.0,22.25
55.893,50.0,22.25
56.484,50.0,22.5
57.062,50.0,22.0
57.638,50.0,21.75
57.648,50.0,22.5
58.237,50.0,22.5
58.789,50.0,22.25
59.337,50.0,22.5
59.902,50.0,22.75
60.490,50.0,22.5
61.052,50.0,22.25
61.606,50.0,22.5
61.630,50.0,22.5
62.214,50.0,22.25
62.784,50.0,22.5
63.369,50.0,22.5
63.937,50.0,22.75
64.511,50.0,22.5
65.073,50.0,23.25
65.635,50.0,22.75
65.655,50.0,23.0
66.226,50.0,23.25
66.785,50.0,23.0
67.367,50.0,23.0
67.927,50.0,23.0
68.510,50.0,23.5
69.062,50.0,23.25
69.630,50.0,23.25
69.637,50.0,23.0
70.213,50.0,22.75
70.781,50.0,23.0
71.341,50.0,23.5
71.908,50.0,23.25
72.473,50.0,23.0
73.044,50.0,23.0
73.634,50.0,23.25
73.641,50.0,23.75
74.223,50.0,23.25
74.804,50.0,23.75
75.366,50.0,23.5
75.937,50.0,23.75
76.509,50.0,23.75
77.101,50.0,23.75
77.116,50.0,23.5
77.691,50.0,23.5
78.255,50.0,24.0
78.808,50.0,23.75
79.383,50.0,23.5
79.952,50.0,24.0
80.521,50.0,24.0
81.097,50.0,24.0
81.133,50.0,24.0
81.713,50.0,24.25
82.295,50.0,23.25
82.887,50.0,23.75
83.450,50.0,24.25
84.014,50.0,24.0
84.569,50.0,23.75
85.145,50.0,24.25
85.152,50.0,24.5
85.729,50.0,24.75
86.297,50.0,24.0
86.852,50.0,24.25
87.412,50.0,24.5
87.998,50.0,24.25
88.556,50.0,24.5
89.116,50.0,24.75
89.130,50.0,24.25
89.724,50.0,24.75
90.291,50.0,24.5
90.858,50.0,24.25
91.441,50.0,25.0
92.021,50.0,24.5
92.587,50.0,25.0
92.612,50.0,24.5
93.192,50.0,24.75
93.752,50.0,25.0
94.315,50.0,24.5
94.882,50.0,24.75
95.462,50.0,25.25
96.053,50.0,24.75
96.628,50.0,24.75
96.664,50.0,24.75
97.249,50.0,25.5
97.814,50.0,25.0
98.380,50.0,25.25
98.945,50.0,25.5
99.499,50.0,25.0
100.079,50.0,25.5
100.638,50.0,25.75
100.638,50.0,25.5
101.247,50.0,25.5
101.820,50.0,25.75
102.392,50.0,25.5
102.963,50.0,25.0
103.539,50.0,25.75
104.105,50.0,26.0
104.115,50.0,26.0
104.710,50.0,25.75
105.276,50.0,25.25
105.849,50.0,25.5
106.419,50.0,25.75
106.991,50.0,26.0
107.561,50.0,26.0
108.138,50.0,26.25
108.138,50.0,26.25
108.746,50.0,26.0
109.320,50.0,26.25
109.889,50.0,26.5
110.455,50.0,26.5
111.032,50.0,26.0
111.605,50.0,26.5
111.611,50.0,26.25
112.220,50.0,26.25
112.809,50.0,26.5
